 Large B/P 	 Large ROE 	 Large S/P 	 Large Return Rate in the last quarter 	 Large Market Value 	 Small systematic Risk	Annual Return	Excess Return	Systematic Risk	Total Risk	Abs. Win Rate	Rel. Win Rate
0.333	0	0.333	0.333	0	0	0.252907592	0.06519841	1.146211409	0.128745586	0.75	0.7
0	0.333	0.333	0.333	0	0	0.231408842	0.058782942	1.025226941	0.112835342	0.8	0.8
0.333	0.333	0	0	0.333	0	0.194064726	0.048996673	0.865789537	0.092941069	0.8	0.85
0.333	0	0.333	0	0.333	0	0.241141528	0.06291132	1.222054614	0.130715048	0.7	0.9
0	0.333	0.333	0	0.333	0	0.190045968	0.048081296	0.889621834	0.093304708	0.8	0.9
0.333	0	0	0.333	0.333	0	0.151699787	0.040534123	1.026235925	0.10338867	0.65	0.8
0	0.333	0	0.333	0.333	0	0.056862027	0.017767971	0.950059735	0.094399454	0.6	0.8
0	0	0.333	0.333	0.333	0	0.165490174	0.043935817	1.032675454	0.106378125	0.7	0.9
0.333	0.333	0	0	0	0.333	0.279363211	0.068162993	0.894291582	0.105978484	0.8	0.8
0.333	0	0.333	0	0	0.333	0.242865957	0.065222069	1.312975627	0.146585074	0.65	0.7
0	0.333	0.333	0	0	0.333	0.28795246	0.071773192	1.097912372	0.124466136	0.75	0.8
0.333	0	0	0.333	0	0.333	0.159343564	0.043884136	1.048151405	0.119207402	0.7	0.65
0	0.333	0	0.333	0	0.333	0.166356101	0.044307284	0.961474065	0.109659492	0.65	0.75
0	0	0.333	0.333	0	0.333	0.21281943	0.05780407	1.201182703	0.137792734	0.7	0.7
0.333	0	0	0	0.333	0.333	0.198432695	0.055003083	1.379686261	0.141519452	0.7	0.8
0	0.333	0	0	0.333	0.333	0.136118992	0.036306065	0.990142127	0.097060087	0.55	0.85
0	0	0.333	0	0.333	0.333	0.226469859	0.059615223	1.183996182	0.129412539	0.7	0.75
0	0	0	0.333	0.333	0.333	0.011590694	0.012043573	1.30918773	0.140605017	0.5	0.5
0.25	0.25	0.25	0.25	0	0	0.275034807	0.068384455	1.028028719	0.116441576	0.85	0.85
0.25	0.25	0.25	0	0.25	0	0.256197789	0.063942501	1.028468687	0.110817428	0.8	0.9
0.25	0.25	0	0.25	0.25	0	0.163491226	0.042098065	0.887199273	0.091186825	0.75	0.85
0.25	0	0.25	0.25	0.25	0	0.230706611	0.059162253	1.081466774	0.11578605	0.7	0.85
0	0.25	0.25	0.25	0.25	0	0.161202023	0.041759315	0.915069482	0.094018795	0.7	0.85
0.25	0.25	0.25	0	0	0.25	0.280930226	0.070558529	1.08141567	0.126418093	0.75	0.85
0.25	0.25	0	0.25	0	0.25	0.238815975	0.059520541	0.885613987	0.104122721	0.7	0.85
0.25	0	0.25	0.25	0	0.25	0.243291884	0.064225687	1.175134061	0.137857106	0.7	0.65
0	0.25	0.25	0.25	0	0.25	0.24132928	0.062128146	1.08849983	0.124032858	0.75	0.8
0.25	0.25	0	0	0.25	0.25	0.244401741	0.060279658	0.90855888	0.099050376	0.8	0.85
0.25	0	0.25	0	0.25	0.25	0.249153433	0.065618321	1.301454076	0.140019041	0.7	0.8
0	0.25	0.25	0	0.25	0.25	0.231704814	0.05835903	1.013683709	0.108070716	0.8	0.8
0.25	0	0	0.25	0.25	0.25	0.166747161	0.045397482	1.068510094	0.11760339	0.7	0.7
0	0.25	0	0.25	0.25	0.25	0.109814502	0.030964742	1.013628531	0.104173225	0.55	0.75
0	0	0.25	0.25	0.25	0.25	0.191943313	0.051699405	1.133501548	0.124058686	0.65	0.75
0.2	0.2	0.2	0.2	0.2	0	0.242284748	0.06034376	0.975507153	0.10415519	0.8	0.85
0.2	0.2	0.2	0.2	0	0.2	0.267560168	0.067350423	1.019172581	0.120912567	0.75	0.85
0.2	0.2	0.2	0	0.2	0.2	0.27638604	0.069139454	1.080582883	0.120295928	0.75	0.85
0.2	0.2	0	0.2	0.2	0.2	0.195047046	0.049573226	0.908428926	0.097963173	0.8	0.85
0.2	0	0.2	0.2	0.2	0.2	0.241971699	0.062788739	1.149729879	0.127265019	0.75	0.75
0	0.2	0.2	0.2	0.2	0.2	0.200112594	0.051324391	0.997655949	0.10543799	0.7	0.9
0.167	0.167	0.167	0.167	0.167	0.167	0.266852553	0.066280682	0.998147585	0.112011621	0.8	0.85
1	0	0	0	0	0	0.077003612	-0.015931777	0.736939118	0.095878469	0.6	0.3
0	1	0	0	0	0	0.16749543	-0.017357063	1.169840693	0.103008166	0.7	0.4
0	0	1	0	0	0	0.097647836	-0.025966914	1.049221017	0.111338381	0.55	0.3
0	0	0	1	0	0	0.203422256	-0.016849361	1.438915867	0.164251239	0.7	0.4
0	0	0	0	1	0	0.178470788	-0.008925012	1.016982577	0.079384762	0.85	0.25
0	0	0	0	0	1	0.08361888	-0.032844287	1.108073232	0.106714958	0.55	0.4
0.5	0.5	0	0	0	0	0.143850301	-0.00177216	0.754226232	0.09125962	0.7	0.35
0.5	0	0.5	0	0	0	0.086515191	-0.024527357	0.971649448	0.111563459	0.55	0.3
0	0.5	0.5	0	0	0	0.142175187	-0.01540129	1.021586639	0.100944263	0.6	0.4
0.5	0	0	0.5	0	0	0.112221861	-0.005348095	0.680928616	0.087838197	0.65	0.4
0	0.5	0	0.5	0	0	0.220298721	-0.00985115	1.294860056	0.128095404	0.65	0.4
0	0	0.5	0.5	0	0	0.118232286	-0.021883756	1.054915615	0.10724033	0.65	0.25
0.5	0	0	0	0.5	0	0.120966985	-0.007065333	0.739862525	0.080463641	0.7	0.25
0	0.5	0	0	0.5	0	0.182579576	-0.011727114	1.102439249	0.089513201	0.65	0.45
0	0	0.5	0	0.5	0	0.137235845	-0.014418673	0.964126018	0.090461047	0.65	0.3
0	0	0	0.5	0.5	0	0.185480965	-0.014745497	1.21266136	0.114333961	0.75	0.25
0.5	0	0	0	0	0.5	0.07005349	-0.01826959	0.74633	0.093684894	0.55	0.3
0	0.5	0	0	0	0.5	0.153030401	-0.014744284	1.062628689	0.104782657	0.6	0.4
0	0	0.5	0	0	0.5	0.088639027	-0.026319858	1.012740704	0.109344895	0.55	0.3
0	0	0	0.5	0	0.5	0.15470331	-0.016201908	1.181985597	0.14430833	0.6	0.4
0	0	0	0	0.5	0.5	0.132719215	-0.020427576	1.056644306	0.089632636	0.65	0.3
0.333	0.333	0.333	0	0	0	0.11770457	-0.013273201	0.878020616	0.102178565	0.6	0.35
0.333	0.333	0	0.333	0	0	0.166617875	-0.003175451	0.891597204	0.099062931	0.65	0.35
0.333	0	0.333	0.333	0	0	0.108987262	-0.013207784	0.833827479	0.099361786	0.65	0.25
0	0.333	0.333	0.333	0	0	0.174457469	-0.009084868	1.049338353	0.105854378	0.65	0.35
0.333	0.333	0	0	0.333	0	0.136502945	-0.007886827	0.824096842	0.081599354	0.7	0.35
0.333	0	0.333	0	0.333	0	0.117505675	-0.016721661	0.93617761	0.098600621	0.65	0.25
0	0.333	0.333	0	0.333	0	0.141162262	-0.017215972	1.037998429	0.093075443	0.65	0.3
0.333	0	0	0.333	0.333	0	0.123020067	-0.006981603	0.746758539	0.080035067	0.7	0.3
0	0.333	0	0.333	0.333	0	0.202775453	-0.013010954	1.244838663	0.110034858	0.75	0.4
0	0	0.333	0.333	0.333	0	0.121849522	-0.018427145	0.973875915	0.089601362	0.6	0.3
0.333	0.333	0	0	0	0.333	0.121567632	-0.008031562	0.784396339	0.095568204	0.7	0.35
0.333	0	0.333	0	0	0.333	0.07095015	-0.025485658	0.913372244	0.107668946	0.5	0.35
0	0.333	0.333	0	0	0.333	0.14944047	-0.014191772	1.041908291	0.106906549	0.6	0.4
0.333	0	0	0.333	0	0.333	0.115076692	-0.009588354	0.780742222	0.092418563	0.6	0.35
0	0.333	0	0.333	0	0.333	0.194674697	-0.008115759	1.133422425	0.116011389	0.65	0.4
0	0	0.333	0.333	0	0.333	0.140438163	-0.015704968	1.038658088	0.110039414	0.6	0.35
0.333	0	0	0	0.333	0.333	0.099459155	-0.01082141	0.725620036	0.086779076	0.65	0.3
0	0.333	0	0	0.333	0.333	0.176678689	-0.015385643	1.159665148	0.097146119	0.65	0.5
0	0	0.333	0	0.333	0.333	0.107498577	-0.02322318	1.023532221	0.102577169	0.6	0.3
0	0	0	0.333	0.333	0.333	0.19026832	-0.01784631	1.332600048	0.135637002	0.6	0.35
0.25	0.25	0.25	0.25	0	0	0.137025025	-0.010317497	0.900159241	0.098806844	0.65	0.3
0.25	0.25	0.25	0	0.25	0	0.128028114	-0.011634172	0.874285704	0.092048354	0.65	0.35
0.25	0.25	0	0.25	0.25	0	0.17230891	-0.005913243	0.952110264	0.090476144	0.7	0.35
0.25	0	0.25	0.25	0.25	0	0.101437971	-0.015428554	0.821744322	0.086375411	0.6	0.25
0	0.25	0.25	0.25	0.25	0	0.177755643	-0.01425202	1.149134885	0.100204395	0.6	0.4
0.25	0.25	0.25	0	0	0.25	0.119877877	-0.012829374	0.886308615	0.106089621	0.6	0.35
0.25	0.25	0	0.25	0	0.25	0.162114201	0.000151482	0.801211447	0.094229978	0.65	0.45
0.25	0	0.25	0.25	0	0.25	0.103560738	-0.016587918	0.885673562	0.105787199	0.5	0.25
0	0.25	0.25	0.25	0	0.25	0.156689141	-0.012034824	1.032812169	0.106711155	0.65	0.35
0.25	0.25	0	0	0.25	0.25	0.138885224	-0.006970414	0.836850998	0.094438555	0.75	0.4
0.25	0	0.25	0	0.25	0.25	0.100269733	-0.019557635	0.9197821	0.101475868	0.65	0.35
0	0.25	0.25	0	0.25	0.25	0.14980595	-0.013595118	1.014202854	0.097019485	0.65	0.45
0.25	0	0	0.25	0.25	0.25	0.130638112	-0.007917363	0.804670862	0.085355188	0.65	0.2
0	0.25	0	0.25	0.25	0.25	0.219232229	-0.005136709	1.163657777	0.110400151	0.65	0.4
0	0	0.25	0.25	0.25	0.25	0.12483651	-0.016632239	0.962747538	0.095517551	0.65	0.35
0.2	0.2	0.2	0.2	0.2	0	0.138745369	-0.010602845	0.902265557	0.092913719	0.7	0.3
0.2	0.2	0.2	0.2	0	0.2	0.141081798	-0.008973628	0.895338519	0.100365174	0.6	0.3
0.2	0.2	0.2	0	0.2	0.2	0.116353834	-0.015488289	0.912706224	0.101106858	0.7	0.4
0.2	0.2	0	0.2	0.2	0.2	0.160587069	-0.00724183	0.930771321	0.092006076	0.7	0.4
0.2	0	0.2	0.2	0.2	0.2	0.114699144	-0.013132439	0.853121554	0.097077433	0.55	0.3
0	0.2	0.2	0.2	0.2	0.2	0.170256172	-0.013009422	1.096426076	0.10050497	0.65	0.3
0.167	0.167	0.167	0.167	0.167	0.167	0.137299536	-0.011104372	0.910100801	0.095022135	0.7	0.35
1	0	0	0	0	0	0.255357099	0.020778246	0.975575441	0.081426259	0.8	0.6
0	1	0	0	0	0	0.249601925	0.003959707	1.350801027	0.077497679	0.85	0.75
0	0	1	0	0	0	0.23124645	0.013455668	1.040006305	0.087825868	0.8	0.4
0	0	0	1	0	0	0.203809319	-0.002600086	1.291898675	0.088623749	0.7	0.6
0	0	0	0	1	0	0.163829669	-0.000794825	0.97470562	0.046071386	0.8	0.45
0	0	0	0	0	1	0.173487741	-0.007202356	1.227074581	0.080720965	0.75	0.5
0.5	0.5	0	0	0	0	0.294883715	0.024584371	1.060690113	0.064909454	0.9	0.7
0.5	0	0.5	0	0	0	0.255867508	0.01956344	1.010396834	0.0834232	0.8	0.5
0	0.5	0.5	0	0	0	0.248221838	0.012378432	1.138027976	0.077196618	0.75	0.65
0.5	0	0	0.5	0	0	0.227573116	0.018909644	0.850334931	0.059821207	0.85	0.55
0	0.5	0	0.5	0	0	0.26132308	0.006971205	1.351860421	0.084919301	0.8	0.7
0	0	0.5	0.5	0	0	0.228335001	0.017145663	0.912782533	0.071787077	0.8	0.6
0.5	0	0	0	0.5	0	0.243926385	0.015426385	1.015146796	0.057275815	0.85	0.7
0	0.5	0	0	0.5	0	0.184513358	-0.007409106	1.264588698	0.062875944	0.7	0.55
0	0	0.5	0	0.5	0	0.215264258	0.012640401	0.934076432	0.05724056	0.85	0.55
0	0	0	0.5	0.5	0	0.159603302	-0.009735589	1.186506383	0.061973425	0.7	0.45
0.5	0	0	0	0	0.5	0.238538802	0.020715884	0.878797973	0.072742963	0.9	0.5
0	0.5	0	0	0	0.5	0.275641741	0.007335245	1.416786913	0.086989708	0.85	0.8
0	0	0.5	0	0	0.5	0.235100519	0.014678493	1.020052502	0.080901975	0.8	0.6
0	0	0	0.5	0	0.5	0.186671743	-0.006118989	1.288934605	0.08951898	0.75	0.55
0	0	0	0	0.5	0.5	0.18252584	-0.001470825	1.100084926	0.054799429	0.7	0.6
0.333	0.333	0.333	0	0	0	0.290061459	0.022651329	1.091539761	0.071343723	0.8	0.75
0.333	0.333	0	0.333	0	0	0.249062415	0.017346976	1.007484456	0.066276765	0.8	0.55
0.333	0	0.333	0.333	0	0	0.237747987	0.0171401	0.960763719	0.071934114	0.85	0.6
0	0.333	0.333	0.333	0	0	0.258092746	0.013625033	1.160275552	0.077663877	0.8	0.65
0.333	0.333	0	0	0.333	0	0.220679422	0.003777148	1.179684242	0.059600173	0.75	0.6
0.333	0	0.333	0	0.333	0	0.25528353	0.021797381	0.924903302	0.062694984	0.8	0.6
0	0.333	0.333	0	0.333	0	0.211310108	0.002476024	1.165647357	0.062797268	0.7	0.55
0.333	0	0	0.333	0.333	0	0.188093566	0.010026366	0.844841145	0.047663702	0.8	0.5
0	0.333	0	0.333	0.333	0	0.206081787	-0.004197848	1.312164113	0.070629427	0.7	0.55
0	0	0.333	0.333	0.333	0	0.189392753	0.010875955	0.83478866	0.051400978	0.8	0.55
0.333	0.333	0	0	0	0.333	0.283506206	0.024610571	1.008456897	0.068774818	0.8	0.65
0.333	0	0.333	0	0	0.333	0.247252883	0.018519146	0.984688012	0.078655155	0.8	0.55
0	0.333	0.333	0	0	0.333	0.275625939	0.016222872	1.18977821	0.080931466	0.8	0.6
0.333	0	0	0.333	0	0.333	0.220401613	0.01544425	0.908043903	0.068902674	0.8	0.65
0	0.333	0	0.333	0	0.333	0.254535118	0.006982931	1.317706331	0.08557715	0.75	0.75
0	0	0.333	0.333	0	0.333	0.239753909	0.014981201	1.035423441	0.079322215	0.75	0.6
0.333	0	0	0	0.333	0.333	0.250782602	0.020154895	0.944525368	0.064797485	0.85	0.6
0	0.333	0	0	0.333	0.333	0.224054067	-0.000785329	1.322436117	0.070255211	0.7	0.7
0	0	0.333	0	0.333	0.333	0.228165474	0.015755001	0.940287944	0.068901482	0.8	0.55
0	0	0	0.333	0.333	0.333	0.159525432	-0.008674395	1.177865753	0.073599309	0.65	0.5
0.25	0.25	0.25	0.25	0	0	0.266689391	0.018909072	1.067782415	0.073103253	0.75	0.65
0.25	0.25	0.25	0	0.25	0	0.250004343	0.013145268	1.105712056	0.061336453	0.85	0.65
0.25	0.25	0	0.25	0.25	0	0.203788107	0.003413056	1.099080976	0.05808675	0.7	0.6
0.25	0	0.25	0.25	0.25	0	0.224037421	0.018661885	0.831234363	0.054119975	0.8	0.6
0	0.25	0.25	0.25	0.25	0	0.207852072	0.003432935	1.126194056	0.063063177	0.8	0.7
0.25	0.25	0.25	0	0	0.25	0.283479798	0.023481719	1.045163092	0.07587258	0.8	0.55
0.25	0.25	0	0.25	0	0.25	0.260728281	0.021691576	0.964960025	0.068606853	0.8	0.65
0.25	0	0.25	0.25	0	0.25	0.236929834	0.019772832	0.898630752	0.075566219	0.8	0.65
0	0.25	0.25	0.25	0	0.25	0.278834195	0.020180611	1.10937736	0.079582808	0.85	0.7
0.25	0.25	0	0	0.25	0.25	0.26054888	0.017604014	1.048478133	0.057943835	0.9	0.75
0.25	0	0.25	0	0.25	0.25	0.260997137	0.022578142	0.940957638	0.067398902	0.85	0.65
0	0.25	0.25	0	0.25	0.25	0.248257013	0.00975876	1.191600371	0.070846439	0.8	0.6
0.25	0	0	0.25	0.25	0.25	0.193840335	0.013889626	0.784163442	0.050045327	0.8	0.55
0	0.25	0	0.25	0.25	0.25	0.223672812	-4.34245E-05	1.314775803	0.077299209	0.75	0.7
0	0	0.25	0.25	0.25	0.25	0.205759957	0.012434485	0.899535387	0.064985263	0.8	0.5
0.2	0.2	0.2	0.2	0.2	0	0.232442852	0.013998159	0.991586188	0.057769302	0.8	0.65
0.2	0.2	0.2	0.2	0	0.2	0.273563171	0.02590644	0.9339347	0.073373699	0.8	0.6
0.2	0.2	0.2	0	0.2	0.2	0.276522939	0.020458685	1.069434419	0.065976039	0.8	0.65
0.2	0.2	0	0.2	0.2	0.2	0.230706453	0.011627135	1.043684198	0.060469145	0.8	0.7
0.2	0	0.2	0.2	0.2	0.2	0.234729012	0.022864805	0.794886766	0.062892946	0.8	0.55
0	0.2	0.2	0.2	0.2	0.2	0.242940086	0.011255195	1.125114122	0.067683389	0.8	0.8
0.167	0.167	0.167	0.167	0.167	0.167	0.241633933	0.018168274	0.941707524	0.060747325	0.8	0.7
